Pays,Année,FDI Inflows % GDP,Political Stability,Regulatory Quality,kaopen
Ouganda,2022,4.06673785760736,-0.937758684158325,-0.490780681371689,1.2017203569412231
Ouganda,2023,6.48067616265599,-0.711015820503235,-0.490339338779449,1.2017203569412231
Ouganda,2024,6.13816501913594,-0.69550609588623,-0.517365336418152,1.2017203569412231
RDC,2015,2.90127515060918,-2.1388533115387,-1.35994815826416,-1.2538762092590332
RDC,2016,2.90127515060918,-2.1388533115387,-1.35994815826416,-1.2538762092590332
RDC,2017,2.41546438746157,-2.22458934783936,-1.3217271566391,-1.2538762092590332
RDC,2018,2.79181852942997,-2.33944034576416,-1.48056161403656,-1.2538762092590332
RDC,2019,3.01664160584951,-2.08051562309265,-1.48891973495483,-1.2538762092590332
RDC,2020,2.88391132652101,-1.62642359733582,-1.52206444740295,-1.2538762092590332
RDC,2021,3.20844071096691,-1.78668558597565,-1.51124560832977,-1.2538762092590332
RDC,2022,2.84027556004194,-1.66062462329865,-1.44039714336395,-1.2538762092590332
RDC,2023,2.00131622839817,-1.98448967933655,-1.47606945037842,-1.2538762092590332
RDC,2024,3.40082269757578,-2.04486203193665,-1.40857565402985,-1.2538762092590332
Sénégal,2015,2.30194934655844,-0.120225243270397,-0.224439725279808,-1.2538762092590332
Sénégal,2016,2.30194934655844,-0.120225243270397,-0.224439725279808,-1.2538762092590332
Sénégal,2017,2.48110320660753,-0.22595489025116,-0.210808366537094,-1.2538762092590332
Sénégal,2018,2.80185380597297,-0.0557225905358791,-0.195707216858864,-1.2538762092590332
Sénégal,2019,3.6676580901097,-0.107357509434223,-0.147642567753792,-1.2538762092590332
Sénégal,2020,4.55247618583033,0.0375764071941376,-0.175264254212379,-1.2538762092590332
Sénégal,2021,7.52395708111684,-0.143102943897247,-0.294217169284821,-1.2538762092590332
Sénégal,2022,9.40426405095026,-0.179771110415459,-0.322730869054794,-1.2538762092590332
Sénégal,2023,10.5411241953817,-0.157593667507172,-0.296521306037903,-1.2538762092590332
Sénégal,2024,15.6044600024418,-0.138591378927231,-0.345079481601715,-1.2538762092590332
Tanzanie,2015,3.17633492826527,-0.423460692167282,-0.427903473377228,-1.2538762092590332
Tanzanie,2016,3.17633492826527,-0.423460692167282,-0.427903473377228,-1.2538762092590332
Tanzanie,2017,1.73591210997565,-0.448246777057648,-0.483072638511658,-1.2538762092590332
Tanzanie,2018,1.76011643802415,-0.570162117481232,-0.610115170478821,-1.2538762092590332
Tanzanie,2019,1.70440979499363,-0.580475687980652,-0.640993356704712,-1.2538762092590332
Tanzanie,2020,1.99459353959393,-0.388420015573502,-0.668204069137573,-1.2538762092590332
Tanzanie,2021,1.42845965174632,-0.480807662010193,-0.68933516740799,-1.2538762092590332
Tanzanie,2022,1.68494347865961,-0.33555868268013,-0.640137732028961,-1.2538762092590332
Tanzanie,2023,1.89781100360764,-0.260344117879868,-0.563533365726471,-1.2538762092590332
Tanzanie,2024,2.08641570952108,-0.0527516007423401,-0.588394701480865,-1.2538762092590332
Tchad,2015,3.84380092336452,-0.973281741142273,-1.22344315052032,-1.2538762092590332
Tchad,2016,3.84380092336452,-0.973281741142273,-1.22344315052032,-1.2538762092590332
Tchad,2017,1.87837153237555,-1.30189418792725,-1.18124747276306,-1.2538762092590332
Tchad,2018,2.72215531343515,-1.28639268875122,-1.22570562362671,-1.2538762092590332
Tchad,2019,3.00704966736056,-1.47801554203033,-1.12444484233856,-1.2538762092590332
Tchad,2020,3.80153819394825,-1.35045111179352,-1.12440085411072,-1.2538762092590332
Tchad,2021,3.73465690769548,-1.25522029399872,-1.12530958652496,-1.2538762092590332
Tchad,2022,4.17913326043699,-1.38986551761627,-1.17182517051697,-1.2538762092590332
Tchad,2023,3.44402627536712,-1.47040486335754,-1.14935708045959,-1.2538762092590332
Tchad,2024,4.97994045498876,-1.55946290493011,-1.15642070770264,-1.2538762092590332
Togo,2015,4.48026975109969,-0.232123047113419,-0.863928973674774,-1.2538762092590332
Togo,2016,4.48026975109969,-0.232123047113419,-0.863928973674774,-1.2538762092590332
Togo,2017,-0.76275824996834,-0.17511710524559,-0.834297657012939,-1.2538762092590332
Togo,2018,1.38645400988561,-0.874444663524628,-0.832186579704285,-1.2538762092590332
Togo,2019,-2.57457902571647,-0.885994553565979,-0.70613569021225,-1.2538762092590332
Togo,2020,4.9437244573784,-0.908257663249969,-0.744945108890533,-1.2538762092590332
Togo,2021,-0.79089727996859,-0.890698075294495,-0.664301931858063,-1.2538762092590332
Togo,2022,-1.59478801736582,-0.695706963539124,-0.646790862083435,-1.2538762092590332
Togo,2023,-2.00429827129667,-0.788051605224609,-0.562867999076843,-1.2538762092590332
Togo,2024,0.812296154474204,-0.954195141792297,-0.493230193853378,-1.2538762092590332
Tunisie,2015,2.11999260597179,-0.960177004337311,-0.388389468193054,-1.2538762092590332
Tunisie,2016,2.11999260597179,-0.960177004337311,-0.388389468193054,-1.2538762092590332
Tunisie,2017,1.40344558640993,-1.13972234725952,-0.453965753316879,-1.2538762092590332
Tunisie,2018,1.9233125677007,-1.02349054813385,-0.36254346370697,-1.2538762092590332
Tunisie,2019,2.32248034984414,-0.868207275867462,-0.494956314563751,-1.2538762092590332
Tunisie,2020,1.94487649950903,-0.877084732055664,-0.385123878717422,-1.2538762092590332
Tunisie,2021,1.46634304906862,-0.59432578086853,-0.303489238023758,-1.2538762092590332
Tunisie,2022,1.16289301361367,-0.75655198097229,-0.4002965092659,-1.2538762092590332
Tunisie,2023,1.43159199894021,-0.594559073448181,-0.414175897836685,-1.2538762092590332
Tunisie,2024,1.46351333844229,-0.630951106548309,-0.6191326379776,-1.2538762092590332
Zambie,2015,7.44741668984243,0.144709780812263,-0.495386928319931,2.280830383300781
Zambie,2016,7.44741668984243,0.144709780812263,-0.495386928319931,2.280830383300781
