Année,Pays,Annual Real GDP Growth (%),Current Account Balance (mn),Exchange Rate,GDP Per Capita,Gross Domestic Product (mn),Inflation Rate (%),Integration_Regionale_Score
2023,Madagascar,"4,022044442","-1074,219258","4525,424805","544,9972925","17420,81447","7,5","0,29592"
2024,Madagascar,"3,830998277","-1146,624137","4724,021484","550,3773138","18019,72641","8,0","0,29592"
2015,Malawi,"2,27","-1005,613301","718,0050049","449,4344908","7732,634121","21,71111321","0,28247"
2016,Malawi,"4,0","-1558,043206","730,272522","506,1369692","8943,537931","11,54339392","0,28247"
2017,Malawi,"4,353564716","-1705,025812","732,333313","544,5928308","9880,664817","12,42017811","0,28247"
2018,Malawi,"5,716825192","-1321,052063","745,5406494","591,8462137","11025,35456","9,370836056","0,28247"
2019,Malawi,"0,79359643","-1638,679485","749,5274658","614,8052495","11761,19676","8,625514697","0,28247"
2020,Malawi,"4,558292119","-1917,650723","805,8996582","617,4945288","12379,07213","9,330144108","0,28247"
2021,Malawi,"1,212014333","-2218,113298","949,0390015","604,269606","12429,05716","20,95396973","0,28247"
2022,Malawi,"1,467698518","-2276,103105","1161,09436","595,5682456","12569,15932","28,78974282","0,28247"
2023,Malawi,"1,8","-1961,886449","1722,713135","498,1590414","10787,77651","32,17965042","0,28247"
2024,Malawi,"3,5","-2085,244465","1755,039795","581,5421682","12919,61059","23,4728846","0,28247"
2015,Mali,"5,764064946","-1015,838147","592,6055908","895,3902397","16743,79748","-1,799647071","0,35244"
2016,Mali,"5,418533372","-1212,9187","580,6567383","948,0794578","18308,36241","1,759857429","0,35244"
2017,Mali,"4,650586624","-836,2549495","555,4464722","1021,772593","20368,01486","0,299546507","0,35244"
2018,Mali,"6,2835","-1288,754662","585,9110107","995,6445745","20477,42196","-1,658266949","0,35244"
2019,Mali,"0,6712","-379,6830678","575,5859985","975,2431762","20698,56117","0,43808894","0,35244"
2020,Mali,"3,6012","-1468,520925","554,5307007","1049,954083","22999,2442","3,925602831","0,35244"
2021,Mali,"6,9506","-1475,427298","623,7597046","1002,255284","22644,9559","9,621476085","0,35244"
2022,Mali,"10,6513","-1610,328886","606,5697632","1076,541261","25076,95213","2,058802283","0,35244"
2023,Mali,"4,7","-1025,5","606,3452759","924,9135222","22226,59685","3,206398641","0,35244"
2024,Mali,"4,9","-1163,2","582,2852173","1008,258503","24994,7283","3,4475","0,35244"
2015,Maroc,"1,047130918","-4179,669587","9,807476044","3176,338786","111572,9465","1,635311143","0,43036"
2016,Maroc,"4,234876815","-3677,255014","9,691997528","3331,54557","118540,5791","0,754663249","0,43036"
2017,Maroc,"2,990302249","-6205,208862","9,386102676","3534,397953","127341,1384","1,803916711","0,43036"
2018,Maroc,"2,20325158","-4406,759941","9,61707592","3534,796409","128920,2675","0,303386037","0,43036"
2019,Maroc,"-7,178224437","-1368,382876","9,496847153","3287,775902","121353,6431","0,705968661","0,43036"
2020,Maroc,"8,154797592","-3348,692438","8,988484383","3843,165929","142022,0524","1,40195884","0,43036"
2021,Maroc,"1,52716837","-4800,285754","10,16065979","3508,042127","130951,9291","6,657042028","0,43036"
2022,Maroc,"3,40336998","-891,2220012","10,13142586","3829,963497","144437,5175","6,091141525","0,43036"
2023,Maroc,"3,162740442","-2371,739596","9,942358971","3850,884824","146646,2112","0,985256592","0,43036"
2024,Maroc,"3,732459772","-2880,588698","9,904126167","3944,785355","151601,1387","1,683323215","0,43036"
2015,Maurice,"3,865001359","-491,3515174","35,54188156","9965,725714","12594,15597","0,977675135","0,42373"
2016,Maurice,"3,827024621","-612,2274013","34,48140717","10841,68504","13713,50646","3,666997027","0,42373"
2017,Maurice,"3,9888","-555,3929776","33,93444824","11643,44404","14735,67498","3,216053831","0,42373"
2018,Maurice,"2,8913","-718,4954861","35,47351837","11403,25235","14436,34642","0,40565519","0,42373"
2019,Maurice,"-14,5466","-1002,712258","39,34693146","9011,043238","11408,10689","2,580800772","0,42373"
2020,Maurice,"3,4038","-1496,640055","41,69213486","9068,972598","11484,34835","4,028528882","0,42373"
2021,Maurice,"8,8799","-1436,824184","44,18277359","10223,78856","12907,7682","10,77375122","0,42373"
2022,Maurice,"5,0","-696,8139508","45,26722336","11182,18697","14101,19624","7,052982385","0,42373"
2023,Maurice,"4,7","-1050,013442","46,41467667","11871,73325","14952,55488","3,604522039","0,42373"
2024,Maurice,"3,3","-905,0","46,1617012","12647,72484","16041,10942","2,7094","0,42373"
2015,Mauritanie,"1,260909217","-882,9191453","352,3708191","153,6855677","639,874779","1,47171046","0,38605"
2016,Mauritanie,"3,497175","-709,0006898","357,9441528","158,7858966","680,0136224","2,25427652","0,38605"
2017,Mauritanie,"2,115267634","-972,88644","35,67750168","1697,256566","7473,550205","3,067359961","0,38605"
2018,Mauritanie,"5,861141328","-831,1064019","36,69083405","1782,292771","8066,118829","2,300092621","0,38605"
2019,Mauritanie,"-0,938516152","-576,1750867","37,18916702","1807,7663","8405,498655","2,385694885","0,38605"
2020,Mauritanie,"2,445368256","-807,8634188","36,0633316","2166,0449","9996,240899","3,565164847","0,38605"
2021,Mauritanie,"7,075","-1424,095461","36,93500137","2312,831521","10953,89157","9,525266286","0,38605"
2022,Mauritanie,"3,4","-966,5058532","36,48916626","2257,716445","10979,25024","4,953050345","0,38605"
2023,Mauritanie,"4,3","-1447,837863","36,66282272","2162,435274","10799,03309","2,78","0,38605"
2024,Mauritanie,"5,0","-1075,878861","37,57817078","2222,97756","11399,74237","3,7","0,38605"
2015,Mozambique,"3,82420637","-4066,257223","63,05623245","433,6705477","12069,05134","17,41804182","0,38005"
2016,Mozambique,"3,741319042","-2379,51102","63,58432388","463,0053566","13264,64046","15,11320739","0,38005"
2017,Mozambique,"3,428172771","-4425,237192","60,32620621","510,3778955","15017,3592","3,9113344","0,38005"
2018,Mozambique,"2,3178","-2493,900604","62,54833221","512,2089206","15512,75937","2,802703079","0,38005"
2019,Mozambique,"-1,2195","-3557,623414","69,46499634","456,585453","14235,42126","3,483935675","0,38005"
2020,Mozambique,"2,3774","-3426,4623","65,46499634","504,0389467","16168,05729","6,40847653","0,38005"
2021,Mozambique,"4,3645","-6366,77223","63,85083389","572,748834","18883,52906","10,27940181","0,38005"
2022,Mozambique,"5,4368","-2207,224607","63,88583374","617,1956009","20921,07928","7,126974821","0,38005"
2023,Mozambique,"1,9","-2498,192202","63,90499878","652,5142526","22745,34182","4,078568348","0,38005"
2024,Mozambique,"1,6","-6839,3","63,90340042","653,4571811","23416,63808","4,4331","0,38005"
2015,Namibie,"0,033792771","-1768,82088","14,70876694","4547,00627","10722,04085","6,728582346","0,337"
2016,Namibie,"-1,027250579","-570,0419271","13,31289959","5363,929543","12887,50049","6,145799811","0,337"
2017,Namibie,"1,095152233","-485,9198442","13,23394203","5588,373769","13682,0155","4,291591053","0,337"
2018,Namibie,"-1,649303031","-221,3616866","14,44869041","5027,688758","12541,69027","3,722394144","0,337"
2019,Namibie,"-8,10140426","316,1625861","16,46326637","4165,326284","10583,7442","2,209382369","0,337"
2020,Namibie,"3,603838586","-1395,138187","14,77867508","4412,828022","12402,46497","3,616905301","0,337"
2021,Namibie,"5,398717212","-1602,821077","16,35585785","4349,79648","12569,4416","6,081281141","0,337"
2022,Namibie,"4,442805274","-1895,571401","18,44630814","4187,608689","12408,28237","5,879934633","0,337"
2023,Namibie,"3,711550326","-1920,003001","18,32865906","4413,121641","13372,33669","4,239039229","0,337"
2024,Namibie,"3,3","-2259,228668","18,48982048","4597,226942","14218,37704","4,479481535","0,337"
2015,Niger,"4,926937529","-1181,659914","592,6055908","500,2150002","10398,86409","1,653889224","0,29859"
2016,Niger,"4,894571442","-1274,368826","580,6567383","517,7717472","11185,10618","2,796373189","0,29859"
2017,Niger,"6,481388047","-1625,023612","555,4464722","570,7240016","12808,66232","2,96760366","0,29859"
2018,Niger,"5,941394895","-1572,44025","585,9110107","554,0996064","12916,46022","-2,489792651","0,29859"
2019,Niger,"3,550228966","-1815,733516","575,5859985","567,7854091","13744,17473","2,89819376","0,29859"
2020,Niger,"1,387125494","-2099,092174","554,5307007","608,7223934","14915,0013","3,837868028","0,29859"
2021,Niger,"11,89982785","-2500,089005","623,7597046","608,9841291","15414,58983","4,226217919","0,29859"
2022,Niger,"2,5","-2332,754444","606,5697632","642,0497089","16795,93499","3,700973164","0,29859"
2023,Niger,"10,30000003","-1273,289665","606,1029663","755,7336837","20429,3043","9,071519977","0,29859"
2024,Niger,"6,600000013","-782,8817033","630,4588623","780,4095954","21787,3432","4,2","0,29859"
2015,Nigeria,"-1,616868291","5077,217476","253,4920044","2176,000159","404649,5205","15,69681264","0,2922"
2016,Nigeria,"0,805886974","13563,76522","305,7901001","1968,560248","375745,4864","16,50226621","0,2922"
2017,Nigeria,"1,922757157","7283,154463","306,0836792","2153,097578","421737,3098","12,09510652","0,2922"
2018,Nigeria,"2,208429277","-13685,219","306,9209595","2361,207469","474516,7604","11,39642234","0,2922"
2019,Nigeria,"-1,794253081","-15985,92754","358,810791","2085,474118","429898,7733","13,24602343","0,2922"
2020,Nigeria,"3,647186538","-3254,16317","401,1520386","2008,539073","438924,6095","16,95284572","0,2922"
2021,Nigeria,"3,251681412","1018,598846","425,9791565","2128,890689","475063,8648","18,84718778","0,2922"
2022,Nigeria,"5,129254598","6423,22272","645,7685547","1593,004127","363018,4719","24,6595502","0,2922"
2023,Nigeria,"4,062708242","17215,26932","1478,96521","1083,423593","252090,4361","33,24209665","0,2922"
2024,Nigeria,"3,125096922","5863,987637","1620,541016","1169,164642","277709,0841","22,39743563","0,2922"
2015,Ouganda,"4,329146418","-795,9955059","3420,0979","800,2566166","31729,51304","5,706375046","0,37573"
2016,Ouganda,"5,047777804","-1501,727445","3611,224365","810,462332","33363,96891","5,209717059","0,37573"
2017,Ouganda,"6,336633663","-2084,720708","3727,069092","829,4280181","35440,65633","2,61601191","0,37573"
2018,Ouganda,"7,777142272","-2632,53","3704,049072","851,8833823","37712,5255","2,867588035","0,37573"
2019,Ouganda,"-1,411683569","-3598,19","3718,249023","872,0211782","39887,12071","3,313322895","0,37573"
2020,Ouganda,"5,751972414","-3604,9","3587,051758","988,250683","45371,50793","2,204572048","0,37573"
2021,Ouganda,"5,799959386","-4063,94","3689,817383","1059,115269","50109,6231","7,19578886","0,37573"
2022,Ouganda,"4,996033798","-3766,44","3726,140381","1067,351943","51933,71764","5,350948043","0,37573"
2023,Ouganda,"6,3","-5488,712812","3757,262451","1131,47549","56590,85075","3,323380671","0,37573"
2024,Ouganda,"6,1","-5698,714298","3622,567871","1325,842878","68128,29574","3,729175402","0,37573"
2015,RDC,"2,399379098","-1504,159532","1010,302734","489,9181541","38600,22513","2,885851073","0,2411"
2016,RDC,"3,726947653","-1241,424116","1464,417969","485,2744519","39500,74107","68,48864794","0,2411"
2017,RDC,"5,815557391","-1672,321587","1622,52356","571,3998272","48036,49324","24,47465407","0,2411"
2018,RDC,"4,446607709","-1693,232061","1647,760132","586,3883564","50892,97852","5,752107625","0,2411"
2019,RDC,"1,735304804","-1052,131626","1851,122192","554,0692699","49623,22173","30,22934809","0,2411"
2020,RDC,"6,200274838","-587,4069704","1989,391479","581,0849571","57613,9529","13,93345171","0,2411"
2021,RDC,"8,543726498","-3148,079379","2006,708252","642,3737784","65777,12723","9,041482155","0,2411"
2022,RDC,"8,4","-3882,715616","2340,035645","660,7633059","69901,97238","32,33583872","0,2411"
2023,RDC,"4,5","-3286,312095","2808,88623","673,4770606","73595,05774","25,90058024","0,2411"
2024,RDC,"4,9","-2554,737925","2886,708984","778,4291484","87832,08587","15,68466197","0,2411"
2015,Sénégal,"6,228449896","-795,6482153","592,6055908","1269,862152","19040,31311","0,837284943","0,40411"
2016,Sénégal,"7,153786942","-1526,269729","580,6567383","1361,733145","20996,56337","1,318153149","0,40411"
2017,Sénégal,"6,2095","-2215,256001","555,4464722","1458,098963","23116,70097","0,460985643","0,40411"
2018,Sénégal,"4,6136","-1897,946142","585,9110107","1436,180417","23403,99608","1,760111512","0,40411"
